STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml)
NEW DELHI,33,7.3,8.6,528,0.9,4.8,NAN
NEW DELHI,27.5,7.95,6.565,188.5,1.5,0.08,24
NEW DELHI,29,5.8,6.6,107,1,0.265,25
NEW DELHI,31.25,6.975,6.725,144.3,1.5,0.22,34
NEW DELHI,NAN,5.35,7.19,216.3,1.325,0.263,11
NEW DELHI,30,7.525,6.61,93.3,1.5,0.283,10
NEW DELHI,29,7.15,6.56,141,1.1,0.25,22
NEW DELHI,NAN,4.325,7.045,547,2.075,0.25,25
NEW DELHI,27.5,6.925,7.633,552,2,0.217,325
NEW DELHI,27.25,6.825,7.125,299.3,3.667,1.525,316
NEW DELHI,26.667,6.7,7.267,92.7,1.333,NAN,6
NEW DELHI,26.333,6.75,7.3,169.3,1.667,NAN,29
NEW DELHI,21.25,5.87,7.84,895.5,4.35,NAN,NAN
NEW DELHI,17.667,6.033,7.367,323.3,3.267,0.667,2390
NEW DELHI,16.5,5.1,7.85,785,12,1.65,3050
NEW DELHI,18,4.867,7.367,568,12,1.367,3500
NEW DELHI,17.333,4.833,7.533,760,13.333,1.933,2300
NEW DELHI,17.5,5.1,7.367,388,6.933,1.4,2723
NEW DELHI,15,6.8,7.3,433.5,5.4,1.35,635
NEW DELHI,17.5,4.2,7.367,758,14.667,1.7,34033
NEW DELHI,18,5.533,7.3,453.3,9.333,1.567,35760
NEW DELHI,17.5,5.2,7.3,391.3,6.267,1.4,23723
NEW DELHI,18,4.2,7.733,825.3,21,1.4,10500
NEW DELHI,18.333,4.033,7.667,855,21.333,1.767,17433
NEW DELHI,18.667,4.133,7.633,811.3,20.333,1.667,38700
NEW DELHI,18,5.35,7.55,682.5,17,20.45,NAN
NEW DELHI,19,4.05,7.85,773.5,16,19.35,NAN
ODISHA,24.7,7.7,7.9,232,1.3,0.8,30790
ODISHA,24.4,7.5,7.8,519,2.1,0.7,38700
ODISHA,22.7,7.3,7.2,103,0.7,1.7,4871
ODISHA,24.8,7.4,7.9,196,0.7,0.6,5323
ODISHA,24,7.4,7.8,244,1.9,1,20880
ODISHA,22.8,7.5,8,243,1.7,0.9,8780
ODISHA,26.8,7.2,8,296,1.5,0.7,1468
ODISHA,27.4,6.6,7.8,25034,1.5,0.9,1671
ODISHA,25.3,7.5,7.9,194,1,1,2906
ODISHA,27.1,7.4,7.9,170,0.8,0.9,4948
ODISHA,23.4,7.5,7.8,237,1.4,0.89,8281
ODISHA,23.5,7.6,7.6,3688,2.3,2.66,19264
ODISHA,22.4,7.3,7.5,82,1.2,1.58,15816
ODISHA,26.8,7.5,8,202,1.4,1.89,11771
ODISHA,26.5,7.3,7.9,232,2.9,2.23,9026
ODISHA,22,7.4,7.9,246,2.3,1.9,1850
ODISHA,27.6,6.9,8.1,3960,2,2.26,19058
ODISHA,26.8,7,8,28222,1.8,2.54,16613
ODISHA,25.6,7.2,7.8,201,1.3,1.59,29937
ODISHA,26.5,7.3,8,221,1.2,2.26,16103
ODISHA,22,7.8,7.9,213,1.5,0.35,7742
ODISHA,22,7.7,8.1,312,2,0.75,12675
ODISHA,24,6.9,7.6,99,1.6,1.39,3066
ODISHA,27,7.3,8,230,1.6,0.69,2346
ODISHA,26,6.8,8.1,264,2.6,1.16,2428
ODISHA,25,7.2,8.1,272,3.1,1.46,2196
ODISHA,28,8,8.3,312,1.4,0.73,1618
ODISHA,29,8.2,8,19595,2,0.94,624
ODISHA,26,7,8,199,1.8,1.11,1503
ODISHA,28,7.2,8.1,201,1.6,0.36,1239
ODISHA,22.3,7.5,8,211,1.9,0.39,3005
ODISHA,22.3,7.2,8,263,3.7,0.63,6625
ODISHA,25,7,7.6,111,1.6,0.67,1081
ODISHA,25.9,7.5,7.9,205,1.5,1,1615
ODISHA,25.9,7.1,7.7,283,2.3,1.73,2882
ODISHA,24.8,7.4,8,263,1.7,0.65,3113
ODISHA,27.5,8.1,8,300,2.3,0.45,2272
ODISHA,28,7.8,8,13103,2.1,0.59,277
ODISHA,25,7.4,8,207,1.5,0.53,1356
ODISHA,25.8,7.2,8,198,1.4,0.57,677
ODISHA,30,7.7,8.1,330,1.9,0.9,1675
ODISHA,30,7.5,7.9,20786,1.3,0.6,613
ODISHA,28,7.2,8.2,315,1.7,1.7,2600
ODISHA,28,7.6,8.1,301,1.5,0.5,2360
ODISHA,28,7.3,8,225,1.3,0.5,1295
ODISHA,27,7.4,8,238,1.9,0.2,2950
ODISHA,27,7.2,7.7,835,2,0.7,1550
ODISHA,29,7.2,7.8,169,1.3,0.4,328
ODISHA,28,7,8.1,240,1,0.4,785
ODISHA,29,7.4,8.1,153,1.7,0.5,505
PONDICHERRY,29,NAN,7.3,386,NAN,0.2,NAN
PONDICHERRY,25,5.9,7.9,21600,NAN,0.1,NAN
PONDICHERRY,25,6.5,7.3,21600,NAN,0.1,NAN
PONDICHERRY,25,6.5,7.7,26600,NAN,0.1,NAN
PONDICHERRY,32,6,7.1,13000,NAN,0.4,NAN
PONDICHERRY,24,NAN,7.8,NAN,1,1,NAN
PONDICHERRY,28,8,7.7,401,NAN,1,NAN
PONDICHERRY,28,8,8.2,1886,4,1,NAN
PONDICHERRY,28,7,8.2,742,5,1,NAN
PONDICHERRY,27,7,6.4,149,4,1,NAN
PONDICHERRY,31,6.8,7.8,505,2.1,0.02, 
PONDICHERRY,25,6.5,7.9,11170,3,0.3, 
PONDICHERRY,25,6.9,7.4,4990,3,0.37, 
PONDICHERRY,25,6.8,8.1,1516, ,0.28, 
PONDICHERRY,26,6,7.3,44600, ,0.23, 
PONDICHERRY,26.8,6.5,8.1,729,1,0.65,NAN
PONDICHERRY,31,3,8.1,1086,NAN,0.1,NAN
PONDICHERRY,32,6.9,8.2,10910,NAN,0.02,NAN
PONDICHERRY,31,6,8,17990,NAN,0.07,NAN
PONDICHERRY,28,4.8,7.7,48500,NAN,0.34,NAN
PONDICHERRY,28,5.1,8.4,4120,3,108.7,NAN
PONDICHERRY,21,7.6,7.9,446,2.6,1.4,NAN
PUNJAB,22.7,5.8,7.2,640,6,4.3,1450
PUNJAB,19,4.8,7.6,1090,22,3.6,30500
PUNJAB,23,5.5,7.3,705,10,5,2020
PUNJAB,24,5.1,7.4,1375,23.7,5.9,27333
PUNJAB,24.7,5.5,7.4,745,10,6.1,12167
PUNJAB,25,5,7.6,975,16.3,6.1,11167
PUNJAB,22,4.9,7.7,1385,27.5,7.7,42500
PUNJAB,24.3,5,7.3,1067,19.3,6.2,21467
PUNJAB,23.3,5.3,7.2,970,13.3,5.9,3167
PUNJAB,19.5,4.9,7.7,1418,21,4.2,28000
PUNJAB,21.5,4.1,7.5,1015,23,6.1,35000
PUNJAB,20,4.8,7.4,854,17,4.7,20500
PUNJAB,23.3,5.5,7.2,636,9.7,4,1328
PUNJAB,22.8,4.7,7.3,1088,23.8,4,28250
PUNJAB,23.3,5.3,7.2,689,11.3,4,1350
PUNJAB,21.8,4.9,7.3,1267,23.5,3,24750
PUNJAB,24.3,5.3,7.4,852,13,4,13775
PUNJAB,23.5,4.9,7.5,977,16.5,5,12375
PUNJAB,24,4.4,7.4,1256,24.8,6,25250
PUNJAB,23.5,4.8,7.2,1021,20.3,4,22875
PUNJAB,23.3,5.1,7.3,971,14.8,5,2125
PUNJAB,22.5,4.6,7.4,1284,24.3,4,21500
PUNJAB,26,4,7.4,1096,26,3,31750
PUNJAB,25.8,4.4,7.3,1002,21.5,4,21000
PUNJAB,21,5.5,7.4,635,8.8,5.08,1400
PUNJAB,24,5.5,7.4,1051,25,6.8,32000
PUNJAB,21,5.3,7.3,636,9.9,5,2150
PUNJAB,24,5.1,7.4,993,21.9,6.63,36250
PUNJAB,21,5.3,7.5,632,13.5,5.08,20000
PUNJAB,18,4.9,7.4,973,17.5,4.77,22000
PUNJAB,22,4.3,7.5,1156,24.5,7.65,33750
PUNJAB,22,4.8,7.4,904,26,8.6,31750
PUNJAB,21,5.1,7.4,1110,16,14.85,3475
PUNJAB,24,5.3,7.4,1290,26.9,8.1,36250
PUNJAB,22,4.9,7.4,990,27.8,6.78,19000
PUNJAB,22,5.2,7.4,914,20.5,6.18,14750
PUNJAB,24.8,5.8,7.2,732,8.5,3.83,1089
PUNJAB,24,5.6,7.4,1322,15.3,15,16750
PUNJAB,25,5.4,7.3,809,10,4.2,4278
PUNJAB,23.3,5.7,7.3,1103,14.3,13.75,20250
PUNJAB,25.8,5.7,7.5,906,24,14.18,7863
PUNJAB,25.8,3.5,7.4,1064,20,13.2,8000
PUNJAB,25.8,3.2,7.6,1197,27.3,19.2,20250
PUNJAB,26,4.7,7.3,1383,32.8,16.4,14388
PUNJAB,26,4.8,7.4,1063,16,5.03,3138
PUNJAB,24.4,5.3,7.5,1532,18.3,15.8,27000
PUNJAB,23.4,5.6,7.5,1269,34.5,12.15,22000
PUNJAB,24.3,5.4,7.4,1194,22,8.3,10000
PUNJAB,22,6,7.3,755,6,2.1,1000
PUNJAB,21,4.9,7.4,892,14,4.4,8000
PUNJAB,22,5,6.7,813,7.5,2.2,1300
PUNJAB,21,5.6,7.3,964,14,4.2,8000
PUNJAB,20,5.7,7.4,968,9.5,3.1,5000
PUNJAB,21,5.3,7.4,779,10,3.1,7000
PUNJAB,21,4.8,7.4,825,19,4.6,9500
PUNJAB,23,2.9,7.3,1035,13,3.9,3050
PUNJAB,21,4.5,7.2,885,10.5,3.3,1100
PUNJAB,20,4.8,7.5,896,10,4.1,7000
PUNJAB,24,3.1,7.6,1130,11.5,4.1,9000
PUNJAB,25,3.1,7.6,1000,10,3.7,6000
RAJASTHAN,32.6,4,6.8,370,3,0.8,4
RAJASTHAN,25.1,5.9,8,401,0.9,0.7,4
RAJASTHAN,22.3,6,7.2,106,0.8,0.4,4
RAJASTHAN,23.7,5.6,7.9,326,1.1,0.8,4
RAJASTHAN,23.9,6.2,8.1,592,1,0.7,4
RAJASTHAN,30.7,4.8,7.6,295,0.8,0,4
RAJASTHAN,28,4.9,8.3,603,1,0,4
RAJASTHAN,23.4,5.5,7.4,138,0.8,0,4
RAJASTHAN,25.3,5.5,8.1,625,1.1,0,4
RAJASTHAN,31.1,5,7.3,305,1.7,0,4
RAJASTHAN,26.3,5.6,8.1,552,1.1,0,4
RAJASTHAN,33,4.8,7.5,280,2.4,0.72,3
RAJASTHAN,24,6,8.3,468,1.4,0.43,5
RAJASTHAN,19,5.9,7.3,234,1.5,0.36,4
RAJASTHAN,23,6.4,8,527,1.2,0.35,5
RAJASTHAN,24,5.9,7.9,796,1.5,0.48,4
RAJASTHAN,28,4.8,7.9,650,3.2,0.68,6
RAJASTHAN,32,5,7.3,390,2.8,0.14,4
RAJASTHAN,26.9,5.1,7.8,657,1.7,0.26,6
RAJASTHAN,27.3,5.3,7.8,623,1.7,NAN,NAN
RAJASTHAN,23,4.8,7.3,260,0.8,1.1,3
SIKKIM,NAN,NAN,7.61,168.2,NAN,10.3,NAN
SIKKIM,25,7.102,7.945,307.5,1.525,0.11,26
SIKKIM,25.5,3.487,7.015,25950,9.2,0.228,378
SIKKIM,22,5.35,7.935,735,4.7,0.835,27650
SIKKIM,25.5,7.05,7.995,535,4.7,1.195,13400
SIKKIM,29.667,6.5,8.14,16410,5.3,1.397,9200
SIKKIM,25.5,NAN,7.885,896.5,15,0.42,3
SIKKIM,29,5.6,8.173,3660,4.6,0.46,4500
SIKKIM,26.5,6.085,7.695,933,3.2,0.153,450
SIKKIM,26.5,6.055,7.605,6715,4.3,0.222,45
SIKKIM,28,NAN,7.215,15580,431.5,0.395,7
SIKKIM,27,7.93,8.32,2160,1.46,0.277,4
SIKKIM,25.667,4.9,7.943,504.7,3.1,0.603,1810
SIKKIM,27.75,6.625,7.725,149.3,2.175,0.123,2
SIKKIM,27.75,5.175,6.95,464,1.5,0.7,75
SIKKIM,30,6.4,7.45,142.8,2.025,0.155,1787
SIKKIM,28.25,6.2,7.9,218,1.575,0.615,NAN
SIKKIM,26.667,7.4,6.733,344.3,1.7,0.9,33
SIKKIM,28.75,7.6,6.775,213.3,1.3,0.173,133
SIKKIM,28,7.35,7.1,214.8,1.425,0.15,41
SIKKIM,28.25,7.675,6.875,103.3,1.025,3.367,18
SIKKIM,27.25,7.125,7.55,418.3,1.725,0.45,18
SIKKIM,28.5,7,6.725,497.3,1.575,0.135,1956
SIKKIM,27.714,6.543,7.229,130.4,4.014,0.307,8
SIKKIM,28.714,6.7,7.307,121.5,3.857,0.264,9
SIKKIM,28.667,7.1,7.507,102.5,4.633,0.21,10
TAMILNADU,29.3,6.5,7.4,1063,2,0.6,177
TAMILNADU,22.8,6.8,6.6,63,2.9,0.1,11
TAMILNADU,24.5,6.6,6.4,101,2.5,0.2,13
TAMILNADU,25.5,6.6,6.5,136,2.5,0.2,13
TAMILNADU,29,6.7,6.9,226,2.2,0.2,12
TAMILNADU,23.8,6.7,6.3,72,2.7,0.2,9
TAMILNADU,22.8,6.7,6.4,61,4.6,0.1,10
TAMILNADU,29,6.6,7.2,1300,2.7,0.2,21
TAMILNADU,29,6.7,7,461,2.5,0.1,17
TAMILNADU,23,6.6,6.2,69,2.5,0.1,11
TAMILNADU,29,6.8,6.9,241,2.5,0.1,14
TAMILNADU,25.7,6.5,6.6,159,2.4,0.2,11
TAMILNADU,25.7,6.6,6.7,170,2.5,0.2,10
TAMILNADU,24.3,0.9,7.6,2039,104.5,0.9,272521616
TAMILNADU,27.8,6.7,7.5,1088,1.7,0,194
TAMILNADU,23.4,7.2,6.5,73,3.1,0,19
TAMILNADU,25.4,6.7,6.3,98,3.3,1.5,21
TAMILNADU,26.3,6.3,6.5,143,4,4,38
TAMILNADU,29,6.6,6.9,260,5.4,1,17
TAMILNADU,24.6,7.1,6.3,71,3.5,1,24
TAMILNADU,23.5,6.9,6.3,65,3.5,0,17
TAMILNADU,29,7.3,7.1,607,3.6,0.88,33
TAMILNADU,27,6.1,7,446,5.2,0.56,26
TAMILNADU,24,6.9,6.4,94,3.2,1.59,20
TAMILNADU,28.7,6.8,6.8,451,9.4,0.55,22
TAMILNADU,26.3,6,6.6,169,3.9,2,22
TAMILNADU,25.7,6.5,6.7,187,3.3,3,32
TAMILNADU,26.8,3.4,7.8,2577,164.9,1.5,148825783
TAMILNADU,27,6.8,7.5,890,2.1,0.51,274
TAMILNADU,23,7.3,7.6,160,1.9,0.06,32
TAMILNADU,25,7,7.7,111,2.2,0.08,53
TAMILNADU,26,6.7,7.7,139,3.1,0.22,123
TAMILNADU,29,7.2,7.2,288,2.1,0.14,33
TAMILNADU,24,7,7.1,95,1.9,0.08,47
TAMILNADU,24,7,7.5,84,1.7,0.06,32
TAMILNADU,29,7.4,7,3101,15.6,0.15,76
TAMILNADU,29,7.2,7.3,510,2.9,0.08,46
TAMILNADU,24,7.1,7.4,88,1.8,0.07,34
TAMILNADU,29,7.2,6.9,338,3.8,0.07,44
TAMILNADU,26,6.7,7.6,162,3.3,0.16,90
TAMILNADU,27,6.7,7.6,182,4.1,0.15,92
TAMILNADU,32,0.2,7.2,2219,185.8,1.75,180000000
TAMILNADU,28.4,6.3,7.6,830,1.8,0.24,738
TAMILNADU,24,7.4,7.6,104,1.2,0.09,NAN
TAMILNADU,24,7.4,6.8,337,1.3,0.1,115
TAMILNADU,28,7.5,6.7,180,1.3,0.1,100
TAMILNADU,28,6.9,6.8,127,2.4,0.1,222
TAMILNADU,30,7,7,305,1.5,0.1,113
TAMILNADU,27,7.2,6.7,323,1.6,0.1,94
TAMILNADU,26,7.4,6.7,364,1.6,0.1,91
TAMILNADU,29,7.5,7.2,473,2.1,0.1,220
TAMILNADU,26,6.7,7.4,544,2,0.3,158
TRIPURA,27.3,6.2,7.8,165,2.1,0,282
TRIPURA,29.1,6.4,7.8,158,4.1,0.5,458
TRIPURA,26.6,6.6,7.9,210,4.2,1.9,510
TRIPURA,27.4,6.6,7.7,165,1.7,0,280
TRIPURA,21.9,6.7,7.8,167,4.8,1,440
TRIPURA,27.5,6.6,7.7,183,3.7,1.55,415
TRIPURA,28,6.6,7.8,165,1.6, ,268
TRIPURA,28,6.4,8,155,3.9,0.5,512
TRIPURA,27,6.5,8,168,4.2,0.99,488
TRIPURA,28.4,6.6,7.8,149,1.8,NAN,209
TRIPURA,28.6,6.3,8,164,3.4,0.3,380
TRIPURA,28.5,6.6,7.9,196,4.4,0.8,425
TRIPURA,28,6.5,7.7,146,1.6,NAN,302
TRIPURA,28,6.2,7.7,176,3.5,0.2,532
TRIPURA,29,6.3,8,198,4.2,0.3,524
TRIPURA,28,6.6,7.7,143,1.3,0,201
TRIPURA,29,6.3,7.6,164,2.8,0.1,442
TRIPURA,28,5.7,7.8,170,3.4,0.2,469
UTTAR PRADESH,22,6.5,7.7,686,9.8,2.6,19750
UTTAR PRADESH,21,6.4,7.8,754,13.8,2.53,56500
UTTAR PRADESH,22,6.3,7.7,615,8.2,3.7,34500
UTTAR PRADESH,21,6.2,7.6,457,3.7,2.23,8633
UTTAR PRADESH,21,6,7.8,690,9.6,3,16250
UTTAR PRADESH,21,5.9,7.8,692,11.1,3.5,94000
UTTAR PRADESH,21,5.9,7.7,699,10.4,3.33,60500
UTTAR PRADESH,22,6.5,8.2,1315,2.2,0.05,NAN
UTTAR PRADESH,25,6.6,8.2,895,26.3,15.5,NAN
UTTAR PRADESH,29,NAN,7.2,NAN,50,0.27,NAN
UTTAR PRADESH,30,NAN,7.4,NAN,50,0.4,NAN
UTTAR PRADESH,29,1,7.3,NAN,49.7,0.6,NAN
UTTAR PRADESH,19,5.6,7.4,168,2.2,0.38,5
UTTAR PRADESH,25,6.7,7.9,135,0.4,NAN,NAN
UTTAR PRADESH,25,6.5,7.9,195,0.6,NAN,NAN
UTTAR PRADESH,24,7.3,7.8,219,0.5,NAN,NAN
UTTAR PRADESH,24,7.7,7.9,227,0.4,NAN,NAN
UTTAR PRADESH,23,6.2,7,132,1.6,NAN,NAN
UTTAR PRADESH,23,6.4,7.4,137,2.1,NAN,NAN
UTTAR PRADESH,23,6.4,7.6,200,1,NAN,NAN
UTTAR PRADESH,23,7,7.6,210,2.4,NAN,100
UTTAR PRADESH,23,3.6,7.2,249,4.9,NAN,NAN
UTTAR PRADESH,23,3.7,7.5,224,4,NAN,NAN
UTTAR PRADESH,24,7.1,7.3,156,2,NAN,NAN
UTTAR PRADESH,23,7.1,7.2,127,2,NAN,NAN
UTTAR PRADESH,22,5.8,7.6,258,1.7,NAN,NAN
UTTAR PRADESH,24,8.4,7.9,383,0.8,NAN,NAN
UTTAR PRADESH,20,8.1,7.2,221,5.4,1.95,213
UTTAR PRADESH,18,6.1,3.1,738,5.5,2.73,32
UTTAR PRADESH,16,8,7,164,1.7,1.6,1600
UTTAR PRADESH,19,5.4,7.2,153,1.7,1.78,213
UTTAR PRADESH,18,7,7,161,1.7,2.43,250
UTTAR PRADESH,27,5.2,7.4,120,1.4,0.05,203
UTTAR PRADESH,27,4.7,7.4,139, ,0.11,308
UTTAR PRADESH,27,5.4,7.4,128,3,0.06,353
UTTAR PRADESH,23,6.9,7.2,233,1.5,NAN,NAN
UTTAR PRADESH,17.5,6.25,7.9,770,14,19.4,NAN
UTTAR PRADESH,18.5,6.65,7.875,914.5,43,0.824,9650
UTTAR PRADESH,19.5,7.2,9.01,340.5,4.6,2.955,12
UTTAR PRADESH,22,6.27,7.89,3638,149.75,NAN,NAN
UTTAR PRADESH,20,6.1,7.1,NAN,3.1,0.3,4
UTTAR PRADESH,26,0.6,7.3,646,87,6.8,NAN
UTTAR PRADESH,27,NAN,7.9,1151,130,8.3,NAN
UTTAR PRADESH,27,NAN,7.1,912,126,6.7,NAN
UTTAR PRADESH,16,7.2,7,183,5.2,2.6,140
UTTAR PRADESH,15,4.6,3,350,6.2,2.2,33
UTTAR PRADESH,10,8.8,7,172,1.6,5,1800
UTTAR PRADESH,11,10,7.1,150,1,4,240
UTTAR PRADESH,12,9,7.3,158,1.8,7.2,220
UTTAR PRADESH,23.667,7.767,7.543,NAN,0.5,NAN,NAN
UTTAR PRADESH,23.7,7.167,8.143,NAN,0.6,NAN,NAN
UTTAR PRADESH,23.767,8.533,7.857,170,0.4,NAN,NAN
UTTAR PRADESH,23.667,8.867,7.793,216,0.5,NAN,NAN
UTTAR PRADESH,28,5.6,7.65,375.2,1.758,1.995,2636
UTTAR PRADESH,NAN,NAN,7.76,233.3,10.825,5.657,NAN
UTTAR PRADESH,NAN,NAN,NAN,NAN,1,1.01,1200
UTTAR PRADESH,NAN,NAN,NAN,NAN,112,5.5,1200000
UTTAR PRADESH,26,7.2,7.84,342.8,1.764,0.528,78
UTTAR PRADESH,27,5,7.22,18370.3,19.663,0.452,9625
UTTAR PRADESH,29,6.2,8.11,480,11.333,0.39,14050
UTTAR PRADESH,27,7.2,8.07,580,4,0.37,150
UTTAR PRADESH,28,6.2,7.98,11125,5,0.39,7147
UTTAR PRADESH,28,3.9,7.92,1039,14.847,1.412,6
UTTAR PRADESH,29,7.2,7.42,246.9,4.632,0.791,10011
UTTAR PRADESH,28,6.9,6.44,302.9,2.304,0.231,12
UTTAR PRADESH,29,7.8,6.69,255.9,2.754,0.348,13
UTTAR PRADESH,29,6.7,7.35,346.1,1.893,0.973,13
UTTAR PRADESH,28,8.3,6.68,348.9,2.503,1.686,13
UTTAR PRADESH,28,8.1,6.18,187.4,2.375,0.196,12
UTTAR PRADESH,29,7.7,6.55,121.8,2.242,1.136,13
UTTAR PRADESH,29,8.6,6.56,181.4,2.423,0.276,24
UTTAR PRADESH,28,7.7,6.45,302.5,2.144,0.163,10
UTTAR PRADESH,28,7.4,6.07,142.8,1.681,0.276,12
UTTAR PRADESH,NAN,7,8.16,4545,4.165,0.343,9593
UTTAR PRADESH,NAN,5.9,7.36,761,6.1,0.083,1200
UTTAR PRADESH,27,4.1,7.57,29369.3,7.08,0.302,1035
UTTAR PRADESH,27,3.9,5.27,5914,441.8,0.512,3
UTTAR PRADESH,NAN,5.7,7.62,665,2.12,0.86,1050
UTTAR PRADESH,NAN,6.1,8,602.5,5.64,1.035,38143
UTTAR PRADESH,14,6.2,7.88,540.7,9.75,17.387,NAN
UTTARAKHAND,20,6.6,7.15,199,7.475,2.1,208
UTTARAKHAND,18,6.4,3.05,605,5.067,4.8,18
UTTARAKHAND,15,7.1,7.03,147.3,2.1,1,1675
UTTARAKHAND,19,8.1,7.03,148.3,1.967,NAN,230
UTTARAKHAND,21,8.3,7.1,152,2.133,NAN,270
UTTARAKHAND,25,7.4,6.6,NAN,NAN,NAN,NAN
UTTARAKHAND,25,6.8,6.3,NAN,NAN,NAN,NAN
UTTARAKHAND,25,6.1,7.15,NAN,NAN,NAN,NAN
UTTARAKHAND,26,7.5,7.2,NAN,NAN,NAN,NAN
UTTARAKHAND,28,7.5,7.8,286.5,1.775,0.51,7448
UTTARAKHAND,30,7.5,7.35,30683,2.25,0.745,1515
UTTARAKHAND,27,6,7.55,214.5,3.125,0.895,2600
UTTARAKHAND,32,6.3,7.43,201.3,2.175,0.76,2825
UTTARAKHAND,29,6.1,8.33,868.5,NAN,1.975,NAN
UTTARAKHAND,NAN,8.1,7.86,342.3,2.747,0.24,NAN
UTTARAKHAND,25,7.3,7.3,157,2.067,0.55,153
UTTARAKHAND,NAN,4.9,7.33,494.7,14.533,2.2,1233
UTTARAKHAND,28,6.3,7.58,379.8,6.7,1.575,1640
UTTARAKHAND,28,6.1,7.58,490,14.25,2.425,4875
UTTARAKHAND,25,6.8,7.43,337.5,4.25,1.225,1175
UTTARAKHAND,26,6.7,7.38,333.5,3.85,1.575,548
UTTARAKHAND,27,5.9,7.48,428,8.35,2.2,4050
UTTARAKHAND,25,6.5,7.4,361.8,4.3,1.9,1158
UTTARAKHAND,25,6.9,7.4,322,3.75,0.975,200
UTTARAKHAND,26,5.1,7.48,496.5,14.7,2.3,4325
UTTARAKHAND,28,5,7.4,515.3,14.76,2.08,8860
UTTARAKHAND,28,5.1,7.43,503.3,16.25,2.3,12938
UTTARAKHAND,16,6.2,7.63,423.3,7,14.013,NAN
UTTARAKHAND,NAN,4.4,8.23,390,1.39,0.08,14
UTTARAKHAND,NAN,4.2,8.52,380,1.26,0.16,28
UTTARAKHAND,23,4,7.65,729,36,2.89,1190
UTTARAKHAND,22,8,8.31,617,4.4,0.655,14
UTTARAKHAND,NAN,4.2,8.55,1184.7,341.833,4,NAN
UTTARAKHAND,NAN,5,7.92,160,1.443,0.153,17
UTTARAKHAND,25,7.5,7.53,87.3,1.407,0.567,32
UTTARAKHAND,27,6.6,7.27,162.3,3.555,0.292,46
UTTARAKHAND,28,6.8,7.12,172.3,1.723,0.198,62
UTTARAKHAND,NAN,6.7,7.6,277.8,1.229,0.183,12
UTTARAKHAND,28,7.1,6.94,95.8,0.943,0.151,10
UTTARAKHAND,27,7.4,7,88.5,0.977,0.186,27
UTTARAKHAND,NAN,6.6,7.81,603.2,2.675,0.263,40
UTTARAKHAND,28,6.6,7.49,571.5,2.091,0.256,151
UTTARAKHAND,28,5.4,7.16,75.8,2.092,NAN,404
UTTARAKHAND,30,5.4,7.37,104.8,1.802,0.215,456
